SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
0,UN,State Unassigned,UN_Unassigned,Unassigned,8112,8112,0,0,0,126,126,0,0,,
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0,0,0,0,0,,
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,0,0,0,0,0,0,,
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,35,3,32,0,0,0,0,0,0,,
0,AP,Andhra Pradesh,AP_Foreign Evacuees,Foreign Evacuees,364,285,79,0,0,12,-12,24,0,,
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,1028,674,347,7,0,90,53,37,0,,
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,657,367,284,6,0,40,31,9,0,,
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,760,450,305,5,0,54,42,12,0,,
7,AP,Andhra Pradesh,AP_Guntur,Guntur,891,376,501,14,0,39,37,0,2,,
8,AP,Andhra Pradesh,AP_Krishna,Krishna,1132,575,514,43,0,36,26,7,3,,
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,1483,634,807,42,0,76,42,30,4,,
0,AP,Andhra Pradesh,AP_Other State,Other State,1661,673,988,0,0,37,20,17,0,,
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,200,98,100,2,0,8,8,0,0,,
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,493,194,295,4,0,9,-4,13,0,,
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,60,36,22,2,0,0,-1,0,1,,
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,367,179,186,2,0,41,33,8,0,,
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,94,63,31,0,0,3,3,0,0,,
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,663,547,115,1,0,28,28,0,0,,
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,478,272,205,1,0,24,-6,30,0,,
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,0,0,0,0,0,0,0,0,0,,
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,76,60,16,0,0,0,0,0,0,,
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,0,0,0,0,0,0,0,0,0,,
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,9,5,4,0,0,0,0,0,0,,
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,0,0,0,0,0,0,0,0,0,,
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,0,0,0,0,0,0,0,0,0,,
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,0,0,0,0,0,0,0,0,0,,
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,1,1,0,0,0,0,0,0,0,,
25,AR,Arunachal Pradesh,AR_Lohit,Lohit,4,2,2,0,0,0,0,0,0,,
26,AR,Arunachal Pradesh,AR_Longding,Longding,3,2,1,0,0,0,0,0,0,,
27,AR,Arunachal Pradesh,AR_Lower Dibang Valley,Lower Dibang Valley,3,2,1,0,0,0,0,0,0,,
28,AR,Arunachal Pradesh,AR_Lower Siang,Lower Siang,1,1,0,0,0,0,0,0,0,,
29,AR,Arunachal Pradesh,AR_Lower Subansiri,Lower Subansiri,0,0,0,0,0,0,0,0,0,,
30,AR,Arunachal Pradesh,AR_Namsai,Namsai,4,2,2,0,0,0,0,0,0,,
31,AR,Arunachal Pradesh,AR_Pakke Kessang,Pakke Kessang,1,0,1,0,0,0,0,0,0,,
32,AR,Arunachal Pradesh,AR_Papum Pare,Papum Pare,37,29,8,0,0,0,0,0,0,,
33,AR,Arunachal Pradesh,AR_Shi Yomi,Shi Yomi,0,0,0,0,0,0,0,0,0,,
34,AR,Arunachal Pradesh,AR_Siang,Siang,0,0,0,0,0,0,0,0,0,,
35,AR,Arunachal Pradesh,AR_Tawang,Tawang,2,2,0,0,0,0,0,0,0,,
36,AR,Arunachal Pradesh,AR_Tirap,Tirap,3,2,1,0,0,0,0,0,0,,
37,AR,Arunachal Pradesh,AR_Upper Dibang Valley,Upper Dibang Valley,0,0,0,0,0,0,0,0,0,,
38,AR,Arunachal Pradesh,AR_Upper Siang,Upper Siang,1,0,1,0,0,0,0,0,0,,
39,AR,Arunachal Pradesh,AR_Upper Subansiri,Upper Subansiri,0,0,0,0,0,0,0,0,0,,
40,AR,Arunachal Pradesh,AR_West Kameng,West Kameng,12,12,0,0,0,0,0,0,0,,
41,AR,Arunachal Pradesh,AR_West Siang,West Siang,1,0,1,0,0,0,0,0,0,,
0,AS,Assam,AS_Airport Quarantine,Airport Quarantine,4,4,0,0,0,0,0,0,0,,
42,AS,Assam,AS_Baksa,Baksa,77,77,0,0,0,0,0,0,0,,
43,AS,Assam,AS_Barpeta,Barpeta,147,92,55,0,0,0,0,0,0,,
44,AS,Assam,AS_Biswanath,Biswanath,56,40,16,0,0,0,0,0,0,,
45,AS,Assam,AS_Bongaigaon,Bongaigaon,24,17,7,0,0,0,0,0,0,,
46,AS,Assam,AS_Cachar,Cachar,98,16,82,0,0,0,0,0,0,,
47,AS,Assam,AS_Charaideo,Charaideo,16,16,0,0,0,0,0,0,0,,
48,AS,Assam,AS_Chirang,Chirang,52,52,0,0,0,0,0,0,0,,
49,AS,Assam,AS_Darrang,Darrang,102,102,0,0,0,0,0,0,0,,
50,AS,Assam,AS_Dhemaji,Dhemaji,94,88,6,0,0,0,0,0,0,,
51,AS,Assam,AS_Dhubri,Dhubri,330,325,5,0,0,0,0,0,0,,
52,AS,Assam,AS_Dibrugarh,Dibrugarh,72,67,5,0,0,0,0,0,0,,
53,AS,Assam,AS_Dima Hasao,Dima Hasao,89,80,9,0,0,0,0,0,0,,
54,AS,Assam,AS_Goalpara,Goalpara,57,38,4,0,0,0,0,0,0,,
55,AS,Assam,AS_Golaghat,Golaghat,272,184,88,0,0,0,0,0,0,,
56,AS,Assam,AS_Hailakandi,Hailakandi,78,72,5,1,0,0,0,0,0,,
57,AS,Assam,AS_Hojai,Hojai,267,267,0,0,0,0,0,0,0,,
58,AS,Assam,AS_Jorhat,Jorhat,139,85,54,0,0,0,0,0,0,,
59,AS,Assam,AS_Kamrup,Kamrup,212,191,21,0,0,0,0,0,0,,
60,AS,Assam,AS_Kamrup Metropolitan,Kamrup Metropolitan,691,304,383,4,0,0,0,0,0,,
61,AS,Assam,AS_Karbi Anglong,Karbi Anglong,39,32,7,0,0,0,0,0,0,,
62,AS,Assam,AS_Karimganj,Karimganj,99,79,20,0,0,0,0,0,0,,
63,AS,Assam,AS_Kokrajhar,Kokrajhar,83,73,10,0,0,0,0,0,0,,
64,AS,Assam,AS_Lakhimpur,Lakhimpur,82,76,6,0,0,0,0,0,0,,
65,AS,Assam,AS_Majuli,Majuli,21,21,0,0,0,0,0,0,0,,
66,AS,Assam,AS_Morigaon,Morigaon,49,21,28,0,0,0,0,0,0,,
67,AS,Assam,AS_Nagaon,Nagaon,327,302,25,0,0,0,0,0,0,,
68,AS,Assam,AS_Nalbari,Nalbari,26,17,9,0,0,0,0,0,0,,
0,AS,Assam,AS_Other State,Other State,1,0,1,0,0,0,0,0,0,,
69,AS,Assam,AS_Sivasagar,Sivasagar,29,3,26,0,0,0,0,0,0,,
70,AS,Assam,AS_Sonitpur,Sonitpur,84,49,35,0,0,0,0,0,0,,
71,AS,Assam,AS_South Salmara Mankachar,South Salmara Mankachar,7,6,1,0,0,0,0,0,0,,
72,AS,Assam,AS_Tinsukia,Tinsukia,104,98,6,0,0,0,0,0,0,,
73,AS,Assam,AS_Udalguri,Udalguri,105,103,2,0,0,0,0,0,0,,
74,AS,Assam,AS_West Karbi Anglong,West Karbi Anglong,28,28,0,0,0,0,0,0,0,,
75,BR,Bihar,BR_Araria,Araria,103,20,82,1,0,0,0,0,0,,
76,BR,Bihar,BR_Arwal,Arwal,95,28,67,0,0,4,4,0,0,,
77,BR,Bihar,BR_Aurangabad,Aurangabad,181,53,127,1,0,7,7,0,0,,
78,BR,Bihar,BR_Banka,Banka,222,54,168,0,0,1,1,0,0,,
79,BR,Bihar,BR_Begusarai,Begusarai,348,59,285,4,0,0,0,0,0,,
80,BR,Bihar,BR_Bhagalpur,Bhagalpur,377,58,318,1,0,6,-7,13,0,,
81,BR,Bihar,BR_Bhojpur,Bhojpur,164,25,137,2,0,4,4,0,0,,
82,BR,Bihar,BR_Buxar,Buxar,205,60,145,0,0,0,0,0,0,,
83,BR,Bihar,BR_Darbhanga,Darbhanga,271,107,159,5,0,4,4,0,0,,
101,BR,Bihar,BR_East Champaran,East Champaran,167,16,150,1,0,0,0,0,0,,
84,BR,Bihar,BR_Gaya,Gaya,184,43,139,2,0,12,6,6,0,,
85,BR,Bihar,BR_Gopalganj,Gopalganj,217,43,174,0,0,0,0,0,0,,
86,BR,Bihar,BR_Jamui,Jamui,61,13,47,1,0,0,0,0,0,,
87,BR,Bihar,BR_Jehanabad,Jehanabad,222,30,190,2,0,0,-2,2,0,,
88,BR,Bihar,BR_Kaimur,Kaimur,149,63,86,0,0,0,0,0,0,,
89,BR,Bihar,BR_Katihar,Katihar,272,40,231,1,0,2,2,0,0,,
90,BR,Bihar,BR_Khagaria,Khagaria,296,10,283,3,0,0,-11,11,0,,
91,BR,Bihar,BR_Kishanganj,Kishanganj,146,27,119,0,0,0,0,0,0,,
92,BR,Bihar,BR_Lakhisarai,Lakhisarai,96,29,67,0,0,5,5,0,0,,
93,BR,Bihar,BR_Madhepura,Madhepura,162,27,134,1,0,0,0,0,0,,
94,BR,Bihar,BR_Madhubani,Madhubani,394,218,175,1,0,6,6,0,0,,
95,BR,Bihar,BR_Munger,Munger,309,49,259,1,0,1,1,0,0,,
96,BR,Bihar,BR_Muzaffarpur,Muzaffarpur,239,65,172,2,0,25,25,0,0,,
97,BR,Bihar,BR_Nalanda,Nalanda,181,30,148,3,0,3,0,3,0,,
98,BR,Bihar,BR_Nawada,Nawada,217,27,188,2,0,0,-5,5,0,,
100,BR,Bihar,BR_Patna,Patna,485,194,287,4,0,4,3,0,1,,
102,BR,Bihar,BR_Purnia,Purnia,268,46,222,0,0,0,-6,6,0,,
103,BR,Bihar,BR_Rohtas,Rohtas,316,45,270,1,0,0,0,0,0,,
104,BR,Bihar,BR_Saharsa,Saharsa,156,64,92,0,0,3,3,0,0,,
105,BR,Bihar,BR_Samastipur,Samastipur,286,134,150,2,0,7,-21,28,0,,
106,BR,Bihar,BR_Saran,Saran,187,47,135,5,0,1,1,0,0,,
107,BR,Bihar,BR_Sheikhpura,Sheikhpura,133,30,103,0,0,1,1,0,0,,
108,BR,Bihar,BR_Sheohar,Sheohar,78,8,69,1,0,0,0,0,0,,
109,BR,Bihar,BR_Sitamarhi,Sitamarhi,130,14,114,2,0,1,1,0,0,,
110,BR,Bihar,BR_Siwan,Siwan,380,161,217,2,0,29,29,0,0,,
111,BR,Bihar,BR_Supaul,Supaul,210,31,179,0,0,4,4,0,0,,
112,BR,Bihar,BR_Vaishali,Vaishali,139,34,102,3,0,0,0,0,0,,
99,BR,Bihar,BR_West Champaran,West Champaran,134,17,116,1,0,0,-5,5,0,,
113,CH,Chandigarh,CH_Chandigarh,Chandigarh,420,92,322,6,0,2,2,0,0,,
0,CT,Chhattisgarh,CT_Other State,Other State,1,0,1,0,0,0,0,0,0,,
114,CT,Chhattisgarh,CT_Balod,Balod,44,3,41,0,0,0,0,0,0,,
115,CT,Chhattisgarh,CT_Baloda Bazar,Baloda Bazar,223,90,133,0,0,0,-4,4,0,,
116,CT,Chhattisgarh,CT_Balrampur,Balrampur,111,39,72,0,0,0,0,0,0,,
117,CT,Chhattisgarh,CT_Bametara,Bametara,45,7,38,0,0,0,0,0,0,,
118,CT,Chhattisgarh,CT_Bastar,Bastar,5,0,4,1,0,0,0,0,0,,
119,CT,Chhattisgarh,CT_Bijapur,Bijapur,0,0,0,0,0,0,0,0,0,,
120,CT,Chhattisgarh,CT_Bilaspur,Bilaspur,172,0,170,2,0,0,-5,5,0,,
121,CT,Chhattisgarh,CT_Dakshin Bastar Dantewada,Dakshin Bastar Dantewada,2,0,2,0,0,0,0,0,0,,
122,CT,Chhattisgarh,CT_Dhamtari,Dhamtari,8,1,6,1,0,0,0,0,0,,
123,CT,Chhattisgarh,CT_Durg,Durg,108,45,60,3,0,0,-2,2,0,,
124,CT,Chhattisgarh,CT_Gariaband,Gariaband,26,10,16,0,0,0,-1,1,0,,
125,CT,Chhattisgarh,CT_Janjgir Champa,Janjgir Champa,220,113,107,0,0,5,-7,12,0,,
126,CT,Chhattisgarh,CT_Jashpur,Jashpur,122,40,82,0,0,0,0,0,0,,
127,CT,Chhattisgarh,CT_Kabeerdham,Kabeerdham,92,12,80,0,0,0,0,0,0,,
128,CT,Chhattisgarh,CT_Kondagaon,Kondagaon,3,1,2,0,0,0,0,0,0,,
129,CT,Chhattisgarh,CT_Korba,Korba,306,105,201,0,0,1,-27,28,0,,
130,CT,Chhattisgarh,CT_Koriya,Koriya,56,7,49,0,0,0,-7,7,0,,
131,CT,Chhattisgarh,CT_Mahasamund,Mahasamund,82,8,73,1,0,0,-4,4,0,,
132,CT,Chhattisgarh,CT_Mungeli,Mungeli,121,17,104,0,0,0,-1,1,0,,
133,CT,Chhattisgarh,CT_Narayanpur,Narayanpur,9,7,2,0,0,0,0,0,0,,
134,CT,Chhattisgarh,CT_Raigarh,Raigarh,94,21,72,1,0,3,2,1,0,,
135,CT,Chhattisgarh,CT_Raipur,Raipur,233,105,127,1,0,3,-2,5,0,,
136,CT,Chhattisgarh,CT_Rajnandgaon,Rajnandgaon,207,117,88,2,0,0,-3,3,0,,
137,CT,Chhattisgarh,CT_Sukma,Sukma,3,3,0,0,0,0,0,0,0,,
138,CT,Chhattisgarh,CT_Surajpur,Surajpur,21,3,18,0,0,0,-1,1,0,,
139,CT,Chhattisgarh,CT_Surguja,Surguja,49,24,25,0,0,0,0,0,0,,
140,CT,Chhattisgarh,CT_Uttar Bastar Kanker,Uttar Bastar Kanker,31,6,25,0,0,0,0,0,0,,
766,CT,Chhattisgarh,CT_Gaurela Pendra Marwahi,Gaurela Pendra Marwahi,3,0,3,0,0,0,0,0,0,,
144,DL,Delhi,DL_Central Delhi,Central Delhi,184,184,0,0,0,0,0,0,0,,
145,DL,Delhi,DL_East Delhi,East Delhi,38,38,0,0,0,0,0,0,0,,
146,DL,Delhi,DL_New Delhi,New Delhi,37,37,0,0,0,0,0,0,0,,
147,DL,Delhi,DL_North Delhi,North Delhi,60,60,0,0,0,0,0,0,0,,
148,DL,Delhi,DL_North East Delhi,North East Delhi,25,25,0,0,0,0,0,0,0,,
149,DL,Delhi,DL_North West Delhi,North West Delhi,32,31,0,1,0,0,0,0,0,,
150,DL,Delhi,DL_Shahdara,Shahdara,48,48,0,0,0,0,0,0,0,,
151,DL,Delhi,DL_South Delhi,South Delhi,70,70,0,0,0,0,0,0,0,,
152,DL,Delhi,DL_South East Delhi,South East Delhi,130,130,0,0,0,0,0,0,0,,
153,DL,Delhi,DL_South West Delhi,South West Delhi,42,42,0,0,0,0,0,0,0,,
154,DL,Delhi,DL_West Delhi,West Delhi,122,122,0,0,0,0,0,0,0,,
0,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Other State,Other State,0,0,0,0,0,0,0,0,0,,
141,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Dadra and Nagar Haveli,Dadra and Nagar Haveli,68,41,26,0,1,0,0,0,0,,
142,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Daman,Daman,41,40,1,0,0,0,0,0,0,,
143,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Diu,Diu,12,12,0,0,0,0,0,0,0,,
0,GA,Goa,GA_Other State,Other State,4,4,0,0,0,0,0,0,0,,
155,GA,Goa,GA_North Goa,North Goa,6,-1,6,1,0,0,0,0,0,,
156,GA,Goa,GA_South Goa,South Goa,377,316,61,0,0,0,0,0,0,,
0,GJ,Gujarat,GJ_Other State,Other State,60,51,8,1,0,0,0,0,0,,
157,GJ,Gujarat,GJ_Ahmedabad,Ahmedabad,19386,3589,14434,1363,0,0,0,0,0,,
158,GJ,Gujarat,GJ_Amreli,Amreli,47,25,17,5,0,0,0,0,0,,
159,GJ,Gujarat,GJ_Anand,Anand,158,11,134,13,0,0,0,0,0,,
160,GJ,Gujarat,GJ_Aravalli,Aravalli,177,23,139,15,0,0,0,0,0,,
161,GJ,Gujarat,GJ_Banaskantha,Banaskantha,167,17,142,8,0,0,0,0,0,,
162,GJ,Gujarat,GJ_Bharuch,Bharuch,162,77,79,6,0,0,0,0,0,,
163,GJ,Gujarat,GJ_Bhavnagar,Bhavnagar,208,56,139,13,0,0,0,0,0,,
164,GJ,Gujarat,GJ_Botad,Botad,76,12,62,2,0,0,0,0,0,,
165,GJ,Gujarat,GJ_Chhota Udaipur,Chhota Udaipur,43,4,37,2,0,0,0,0,0,,
167,GJ,Gujarat,GJ_Dahod,Dahod,53,10,43,0,0,0,0,0,0,,
187,GJ,Gujarat,GJ_Dang,Dang,4,0,4,0,0,0,0,0,0,,
166,GJ,Gujarat,GJ_Devbhumi Dwarka,Devbhumi Dwarka,20,5,14,1,0,0,0,0,0,,
168,GJ,Gujarat,GJ_Gandhinagar,Gandhinagar,580,189,366,25,0,0,0,0,0,,
169,GJ,Gujarat,GJ_Gir Somnath,Gir Somnath,58,11,47,0,0,0,0,0,0,,
170,GJ,Gujarat,GJ_Jamnagar,Jamnagar,147,76,68,3,0,0,0,0,0,,
171,GJ,Gujarat,GJ_Junagadh,Junagadh,66,26,39,1,0,0,0,0,0,,
173,GJ,Gujarat,GJ_Kheda,Kheda,133,36,92,5,0,0,0,0,0,,
172,GJ,Gujarat,GJ_Kutch,Kutch,106,15,86,5,0,0,0,0,0,,
175,GJ,Gujarat,GJ_Mahisagar,Mahisagar,130,20,108,2,0,0,0,0,0,,
174,GJ,Gujarat,GJ_Mehsana,Mehsana,220,73,136,11,0,0,0,0,0,,
176,GJ,Gujarat,GJ_Morbi,Morbi,10,4,5,1,0,0,0,0,0,,
177,GJ,Gujarat,GJ_Narmada,Narmada,59,29,30,0,0,0,0,0,0,,
178,GJ,Gujarat,GJ_Navsari,Navsari,53,14,38,1,0,0,0,0,0,,
179,GJ,Gujarat,GJ_Panchmahal,Panchmahal,144,15,114,15,0,0,0,0,0,,
180,GJ,Gujarat,GJ_Patan,Patan,149,40,98,11,0,0,0,0,0,,
181,GJ,Gujarat,GJ_Porbandar,Porbandar,14,2,10,2,0,0,0,0,0,,
182,GJ,Gujarat,GJ_Rajkot,Rajkot,188,86,97,5,0,0,0,0,0,,
183,GJ,Gujarat,GJ_Sabarkantha,Sabarkantha,155,48,100,7,0,0,0,0,0,,
184,GJ,Gujarat,GJ_Surat,Surat,3540,935,2471,134,0,0,0,0,0,,
185,GJ,Gujarat,GJ_Surendranagar,Surendranagar,91,37,50,4,0,0,0,0,0,,
186,GJ,Gujarat,GJ_Tapi,Tapi,10,5,5,0,0,0,0,0,0,,
188,GJ,Gujarat,GJ_Vadodara,Vadodara,1940,631,1262,47,0,0,0,0,0,,
189,GJ,Gujarat,GJ_Valsad,Valsad,75,25,47,3,0,0,0,0,0,,
212,HP,Himachal Pradesh,HP_Bilaspur,Bilaspur,37,14,23,0,0,0,0,0,0,,
213,HP,Himachal Pradesh,HP_Chamba,Chamba,46,10,35,0,1,0,0,0,0,,
214,HP,Himachal Pradesh,HP_Hamirpur,Hamirpur,205,90,114,1,0,0,-3,3,0,,
215,HP,Himachal Pradesh,HP_Kangra,Kangra,208,84,122,2,0,0,-2,2,0,Death of Tibetan refugee on March 22 included in Kangra district's tally,
216,HP,Himachal Pradesh,HP_Kinnaur,Kinnaur,3,0,3,0,0,0,0,0,0,,
217,HP,Himachal Pradesh,HP_Kullu,Kullu,5,1,4,0,0,0,0,0,0,,
218,HP,Himachal Pradesh,HP_Lahaul and Spiti,Lahaul and Spiti,0,0,0,0,0,0,0,0,0,,
219,HP,Himachal Pradesh,HP_Mandi,Mandi,24,2,20,2,0,0,0,0,0,,
220,HP,Himachal Pradesh,HP_Shimla,Shimla,36,19,14,2,1,0,-1,1,0,,
221,HP,Himachal Pradesh,HP_Sirmaur,Sirmaur,34,10,17,0,7,0,0,0,0,,
222,HP,Himachal Pradesh,HP_Solan,Solan,84,50,30,0,4,3,3,0,0,,
223,HP,Himachal Pradesh,HP_Una,Una,96,37,59,0,0,0,-3,3,0,,
0,HR,Haryana,HR_Foreign Evacuees,Foreign Evacuees,21,15,6,0,0,0,-1,1,0,,
190,HR,Haryana,HR_Ambala,Ambala,292,112,177,3,0,0,-10,10,0,,
191,HR,Haryana,HR_Bhiwani,Bhiwani,316,228,85,3,0,19,19,0,0,,
192,HR,Haryana,HR_Charkhi Dadri,Charkhi Dadri,69,23,45,1,0,9,7,2,0,,
193,HR,Haryana,HR_Faridabad,Faridabad,2596,1304,1228,64,0,0,0,0,0,,
194,HR,Haryana,HR_Fatehabad,Fatehabad,94,27,67,0,0,0,0,0,0,,
195,HR,Haryana,HR_Gurugram,Gurugram,4729,1916,2744,69,0,84,84,0,0,,
196,HR,Haryana,HR_Hisar,Hisar,206,104,101,1,0,0,0,0,0,,
0,HR,Haryana,HR_Italians,Italians,14,0,14,0,0,0,0,0,0,,
197,HR,Haryana,HR_Jhajjar,Jhajjar,208,73,132,3,0,7,7,0,0,,
198,HR,Haryana,HR_Jind,Jind,96,56,36,4,0,3,3,0,0,,
199,HR,Haryana,HR_Kaithal,Kaithal,70,18,52,0,0,0,0,0,0,,
200,HR,Haryana,HR_Karnal,Karnal,236,87,146,3,0,0,0,0,0,,
201,HR,Haryana,HR_Kurukshetra,Kurukshetra,111,45,66,0,0,0,0,0,0,,
202,HR,Haryana,HR_Mahendragarh,Mahendragarh,200,63,137,0,0,0,-12,12,0,,
203,HR,Haryana,HR_Nuh,Nuh,160,32,128,0,0,2,-5,7,0,,
204,HR,Haryana,HR_Palwal,Palwal,268,88,178,2,0,5,5,0,0,,
205,HR,Haryana,HR_Panchkula,Panchkula,97,47,50,0,0,0,-1,1,0,,
206,HR,Haryana,HR_Panipat,Panipat,137,33,98,6,0,0,0,0,0,,
207,HR,Haryana,HR_Rewari,Rewari,212,165,46,1,0,42,42,0,0,,
208,HR,Haryana,HR_Rohtak,Rohtak,481,69,405,7,0,22,-4,26,0,,
209,HR,Haryana,HR_Sirsa,Sirsa,90,20,70,0,0,0,-3,3,0,,
210,HR,Haryana,HR_Sonipat,Sonipat,925,399,515,11,0,0,0,0,0,,
211,HR,Haryana,HR_Yamunanagar,Yamunanagar,90,40,50,0,0,5,-11,16,0,,
246,JH,Jharkhand,JH_Bokaro,Bokaro,36,7,27,2,0,0,0,0,0,,
247,JH,Jharkhand,JH_Chatra,Chatra,43,7,36,0,0,0,0,0,0,,
248,JH,Jharkhand,JH_Deoghar,Deoghar,32,22,10,0,0,0,0,0,0,,
249,JH,Jharkhand,JH_Dhanbad,Dhanbad,122,13,109,0,0,0,0,0,0,,
250,JH,Jharkhand,JH_Dumka,Dumka,10,6,4,0,0,0,0,0,0,,
264,JH,Jharkhand,JH_East Singhbhum,East Singhbhum,330,162,168,0,0,0,0,0,0,,
251,JH,Jharkhand,JH_Garhwa,Garhwa,97,11,86,0,0,0,0,0,0,,
252,JH,Jharkhand,JH_Giridih,Giridih,72,20,51,1,0,0,0,0,0,,
253,JH,Jharkhand,JH_Godda,Godda,8,7,1,0,0,0,0,0,0,,
254,JH,Jharkhand,JH_Gumla,Gumla,105,37,67,1,0,0,0,0,0,,
255,JH,Jharkhand,JH_Hazaribagh,Hazaribagh,170,47,122,1,0,0,0,0,0,,
256,JH,Jharkhand,JH_Jamtara,Jamtara,28,8,20,0,0,0,0,0,0,,
257,JH,Jharkhand,JH_Khunti,Khunti,23,0,23,0,0,0,0,0,0,,
258,JH,Jharkhand,JH_Koderma,Koderma,166,56,109,1,0,0,0,0,0,,
259,JH,Jharkhand,JH_Latehar,Latehar,54,8,46,0,0,0,0,0,0,,
260,JH,Jharkhand,JH_Lohardaga,Lohardaga,52,15,37,0,0,0,0,0,0,,
261,JH,Jharkhand,JH_Pakur,Pakur,30,0,30,0,0,0,0,0,0,,
262,JH,Jharkhand,JH_Palamu,Palamu,49,4,45,0,0,0,0,0,0,,
265,JH,Jharkhand,JH_Ramgarh,Ramgarh,120,32,88,0,0,0,0,0,0,,
266,JH,Jharkhand,JH_Ranchi,Ranchi,201,52,144,5,0,0,0,0,0,,
267,JH,Jharkhand,JH_Sahibganj,Sahibganj,4,1,3,0,0,0,0,0,0,,
268,JH,Jharkhand,JH_Saraikela-Kharsawan,Saraikela-Kharsawan,36,7,29,0,0,0,0,0,0,,
269,JH,Jharkhand,JH_Simdega,Simdega,348,120,228,0,0,0,0,0,0,,
263,JH,Jharkhand,JH_West Singhbhum,West Singhbhum,57,20,37,0,0,0,0,0,0,,
224,JK,Jammu and Kashmir,JK_Anantnag,Anantnag,614,165,443,6,0,0,0,0,0,,
226,JK,Jammu and Kashmir,JK_Bandipora,Bandipora,278,48,229,1,0,0,0,0,0,,
227,JK,Jammu and Kashmir,JK_Baramulla,Baramulla,633,348,271,14,0,0,0,0,0,,
225,JK,Jammu and Kashmir,JK_Budgam,Budgam,346,192,148,6,0,0,0,0,0,,
228,JK,Jammu and Kashmir,JK_Doda,Doda,70,18,51,1,0,0,0,0,0,,
229,JK,Jammu and Kashmir,JK_Ganderbal,Ganderbal,73,14,59,0,0,0,0,0,0,,
230,JK,Jammu and Kashmir,JK_Jammu,Jammu,311,71,233,7,0,0,0,0,0,,
